symbol,price_source,status,last_close,pivot_high,contractions_pct,volume_trend_ok,score,bars,note,score_delta
A,yahoo,no_pattern,136.33999633789062,,,,0,260,no VCP pattern,0.0
AA,yahoo,no_pattern,60.209999084472656,,,,0,260,no VCP pattern,0.0
AACB,yahoo,no_pattern,10.380000114440918,,,,0,202,no VCP pattern,0.0
AACBR,yahoo,no_pattern,0.2809999883174896,,,,0,1,no VCP pattern,0.0
AACBU,yahoo,vcp,10.670000076293945,10.579999923706055,4.18|0.0|0.19,False,1,238,drops not shrinking; volume not contracting,0.0
AACG,yahoo,vcp,1.1100000143051147,1.159999966621399,11.02|12.14|19.4,True,2,260,drops not shrinking,0.0
AAL,yahoo,no_pattern,14.569999694824219,,,,0,259,no VCP pattern,0.0
AAM,yahoo,no_pattern,10.694299697875977,,,,0,260,no VCP pattern,0.0
AAME,yahoo,no_pattern,2.7699999809265137,,,,0,259,no VCP pattern,0.0
AAMI,yahoo,vcp,55.77000045776367,48.56999969482422,3.34|4.73|3.23,False,1,260,drops not shrinking; volume not contracting,0.0
AAOI,yahoo,no_pattern,35.70000076293945,,,,0,260,no VCP pattern,0.0
AAON,yahoo,vcp,94.05000305175781,96.58000183105469,15.35|15.72|21.85,False,1,260,drops not shrinking; volume not contracting,0.0
AAP,yahoo,vcp,47.290000915527344,43.84000015258789,10.43|6.06|5.77,False,3,260,volume not contracting,3.0
AAPG,yahoo,no_pattern,25.549999237060547,,,,0,252,no VCP pattern,0.0
AAPL,yahoo,no_pattern,261.2598876953125,,,,0,260,no VCP pattern,-1.0
AARD,yahoo,no_pattern,14.399999618530273,,,,0,239,no VCP pattern,-1.0
AAT,yahoo,no_pattern,17.8799991607666,,,,0,260,no VCP pattern,0.0
AAUC,yahoo,vcp,31.825000762939453,25.15999984741211,2.66|4.32|8.19,False,1,260,drops not shrinking; volume not contracting,1.0
AB,yahoo,vcp,42.79999923706055,39.59000015258789,9.25|1.81|4.17,False,1,260,drops not shrinking; volume not contracting,0.0
ABAT,yahoo,no_pattern,4.480000019073486,,,,0,260,no VCP pattern,-1.0
ABBV,yahoo,no_pattern,222.25999450683594,,,,0,260,no VCP pattern,0.0
ABCB,yahoo,vcp,80.0199966430664,82.7699966430664,0.97|1.0|1.46,False,1,260,drops not shrinking; volume not contracting,0.0
ABCL,yahoo,no_pattern,4.139999866485596,,,,0,259,no VCP pattern,0.0
ABEO,yahoo,no_pattern,5.074999809265137,,,,0,260,no VCP pattern,0.0
ABEV,yahoo,no_pattern,2.8450000286102295,,,,0,260,no VCP pattern,-2.0
ABG,yahoo,no_pattern,235.86500549316406,,,,0,260,no VCP pattern,0.0
ABLV,yahoo,vcp,0.7300000190734863,0.7400000095367432,1.35|3.85|9.46,False,1,260,drops not shrinking; volume not contracting,0.0
ABLVW,yahoo,no_pattern,0.02370000071823597,,,,0,1,no VCP pattern,0.0
ABM,yahoo,vcp,45.28499984741211,46.369998931884766,13.47|1.4|0.94,False,3,260,volume not contracting,0.0
ABNB,yahoo,vcp,132.10499572753906,133.8000030517578,8.97|2.88|6.72,False,1,260,drops not shrinking; volume not contracting,1.0
ABOS,yahoo,vcp,2.4100000858306885,2.2799999713897705,10.26|-3.54|24.56,False,1,260,drops not shrinking; volume not contracting,1.0
ABP,yahoo,no_pattern,2.0899999141693115,,,,0,260,no VCP pattern,0.0
ABPWW,yahoo,no_pattern,0.013000000268220901,,,,0,1,no VCP pattern,0.0
ABR,yahoo,no_pattern,7.704999923706055,,,,0,260,no VCP pattern,0.0
ABSI,yahoo,no_pattern,2.890000104904175,,,,0,260,no VCP pattern,0.0
ABT,yahoo,no_pattern,108.03980255126953,,,,0,260,no VCP pattern,0.0
ABTC,yahoo,no_pattern,1.5099999904632568,,,,0,260,no VCP pattern,0.0
ABTS,yahoo,no_pattern,5.190000057220459,,,,0,260,no VCP pattern,0.0
ABUS,yahoo,no_pattern,4.09499979019165,,,,0,260,no VCP pattern,0.0
ABVC,yahoo,no_pattern,2.009999990463257,,,,0,260,no VCP pattern,-1.0
ABVE,yahoo,no_pattern,2.125,,,,0,260,no VCP pattern,-1.0
ABVEW,yahoo,no_pattern,0.7997999787330627,,,,0,1,no VCP pattern,0.0
ABVX,yahoo,vcp,122.38990020751953,123.62999725341797,16.73|21.27|6.57,False,1,260,drops not shrinking; volume not contracting,0.0
ABX,yahoo,vcp,7.96999979019165,8.630000114440918,3.88|7.04|4.24,True,1,260,drops not shrinking; price not near pivot,-1.0
ABXL,yahoo,vcp,26.120100021362305,26.020999908447266,0.25|-0.2|0.27,False,1,260,drops not shrinking; volume not contracting,0.0
ACA,yahoo,vcp,114.125,108.81153106689453,3.7|4.23|5.26,True,2,260,drops not shrinking,0.0
ACAD,yahoo,no_pattern,26.09000015258789,,,,0,260,no VCP pattern,-1.0
ACB,yahoo,no_pattern,4.349999904632568,,,,0,260,no VCP pattern,0.0
ACCL,yahoo,no_pattern,1.4801000356674194,,,,0,69,no VCP pattern,0.0
ACCO,yahoo,vcp,3.9298999309539795,4.039999961853027,4.43|1.6|4.84,False,1,260,drops not shrinking; volume not contracting,0.0
ACCS,yahoo,no_pattern,9.430000305175781,,,,0,260,no VCP pattern,0.0
ACDC,yahoo,no_pattern,5.25,,,,0,260,no VCP pattern,-1.0
ACEL,yahoo,vcp,11.15999984741211,11.640000343322754,2.82|3.33|4.3,True,2,260,drops not shrinking,0.0
ACET,yahoo,no_pattern,8.420000076293945,,,,0,260,no VCP pattern,0.0
ACFN,yahoo,no_pattern,17.8125,,,,0,260,no VCP pattern,-2.0
ACGL,yahoo,no_pattern,93.0199966430664,,,,0,260,no VCP pattern,-1.0
ACGLN,yahoo,vcp,17.895000457763672,17.540000915527344,0.64|1.35|0.59,False,1,260,drops not shrinking; volume not contracting,0.0
ACGLO,yahoo,vcp,21.290000915527344,20.65999984741211,0.61|3.11|0.68,False,1,260,drops not shrinking; volume not contracting,0.0
ACH,yahoo,no_pattern,1.8899999856948853,,,,0,260,no VCP pattern,0.0
ACHC,yahoo,no_pattern,14.529999732971191,,,,0,260,no VCP pattern,0.0
ACHR,yahoo,vcp,7.985000133514404,8.90999984741211,15.31|10.48|3.97,False,2,260,volume not contracting; price not near pivot,-1.0
ACHV,yahoo,no_pattern,4.869999885559082,,,,0,260,no VCP pattern,0.0
ACI,yahoo,no_pattern,16.524999618530273,,,,0,260,no VCP pattern,0.0
ACIC,yahoo,no_pattern,10.890000343322754,,,,0,260,no VCP pattern,0.0
ACIU,yahoo,vcp,3.5199999809265137,3.700000047683716,1.57|7.34|10.27,False,1,260,drops not shrinking; volume not contracting,0.0
ACIW,yahoo,no_pattern,44.400001525878906,,,,0,260,no VCP pattern,0.0
ACLS,yahoo,vcp,90.44999694824219,94.95999908447266,10.98|4.01|6.11,False,1,260,drops not shrinking; volume not contracting,0.0
ACLX,yahoo,no_pattern,68.63999938964844,,,,0,260,no VCP pattern,0.0
ACM,yahoo,vcp,96.1500015258789,99.61000061035156,8.05|2.5|2.36,False,3,260,volume not contracting,3.0
ACMR,yahoo,no_pattern,53.209999084472656,,,,0,260,no VCP pattern,0.0
ACN,yahoo,vcp,277.8140869140625,288.5400085449219,4.2|1.78|5.49,False,1,260,drops not shrinking; volume not contracting,0.0
ACNB,yahoo,vcp,48.31999969482422,48.65999984741211,5.07|1.51|10.65,False,1,260,drops not shrinking; volume not contracting,0.0
ACNT,yahoo,no_pattern,15.84000015258789,,,,0,260,no VCP pattern,0.0
ACOG,yahoo,no_pattern,5.809999942779541,,,,0,260,no VCP pattern,0.0
ACON,yahoo,no_pattern,3.6700000762939453,,,,0,260,no VCP pattern,0.0
ACONW,yahoo,no_pattern,0.037700001150369644,,,,0,1,no VCP pattern,0.0
ACP,yahoo,no_pattern,5.574999809265137,,,,0,260,no VCP pattern,-1.0
ACR,yahoo,vcp,19.49250030517578,20.59000015258789,1.85|16.85|3.14,True,1,260,drops not shrinking; price not near pivot,-1.0
ACRE,yahoo,vcp,4.800099849700928,5.010000228881836,5.53|3.77|11.33,False,1,260,drops not shrinking; volume not contracting,0.0
ACRS,yahoo,no_pattern,3.819999933242798,,,,0,260,no VCP pattern,-1.0
ACRV,yahoo,no_pattern,1.9500000476837158,,,,0,260,no VCP pattern,0.0
ACT,yahoo,vcp,39.20500183105469,39.599998474121094,3.48|2.46|6.93,False,1,260,drops not shrinking; volume not contracting,0.0
ACTG,yahoo,vcp,3.940000057220459,4.010000228881836,4.68|6.58|3.33,False,1,260,drops not shrinking; volume not contracting,0.0
ACTU,yahoo,vcp,5.625,5.860000133514404,10.09|16.52|21.02,False,1,260,drops not shrinking; volume not contracting,1.0
ACU,yahoo,vcp,42.04499816894531,43.91999816894531,1.54|6.47|5.17,False,1,260,drops not shrinking; volume not contracting,0.0
ACV,yahoo,vcp,27.94499969482422,27.65999984741211,5.28|1.29|1.95,False,1,260,drops not shrinking; volume not contracting,0.0
ACVA,yahoo,vcp,8.289999961853027,8.979999542236328,45.79|6.54|5.68,True,3,260,price not near pivot,0.0
ACXP,yahoo,vcp,2.720099925994873,2.7799999713897705,24.83|28.86|13.31,True,2,260,drops not shrinking,2.0
AD,yahoo,no_pattern,46.2599983215332,,,,0,260,no VCP pattern,-1.0
ADACU,yahoo,no_pattern,10.005000114440918,,,,0,25,no VCP pattern,0.0
ADAG,yahoo,no_pattern,2.4700000286102295,,,,0,260,no VCP pattern,0.0
ADAM,yahoo,vcp,8.414999961853027,8.729999542236328,3.89|7.83|1.23,False,1,260,drops not shrinking; volume not contracting,1.0
ADAMG,yahoo,vcp,25.100000381469727,25.100000381469727,1.19|1.07|0.36,False,3,259,volume not contracting,2.0
ADAMH,yahoo,no_pattern,25.520000457763672,,,,0,140,no VCP pattern,0.0
ADAMI,yahoo,vcp,25.18000030517578,25.216999053955078,0.51|0.64|0.38,False,1,260,drops not shrinking; volume not contracting,-1.0
ADAML,yahoo,no_pattern,23.0,,,,0,260,no VCP pattern,0.0
ADAMM,yahoo,vcp,25.190000534057617,25.110000610351562,0.2|0.52|0.44,False,1,260,drops not shrinking; volume not contracting,0.0
ADAMN,yahoo,vcp,22.135000228881836,22.31999969482422,0.58|1.99|1.21,False,1,260,drops not shrinking; volume not contracting,1.0
ADAMO,yahoo,no_pattern,25.13990020751953,,,,0,9,no VCP pattern,0.0
ADAMZ,yahoo,no_pattern,19.233600616455078,,,,0,260,no VCP pattern,0.0
ADBE,yahoo,no_pattern,295.3534851074219,,,,0,260,no VCP pattern,0.0
ADC,yahoo,vcp,72.71499633789062,73.19000244140625,0.46|2.92|1.58,True,2,260,drops not shrinking,1.0
ADCT,yahoo,vcp,3.575000047683716,3.799999952316284,26.65|13.24|7.85,True,3,260,price not near pivot,0.0
ADEA,yahoo,vcp,18.57990074157715,19.90999984741211,28.09|17.27|5.83,False,2,260,volume not contracting; price not near pivot,-1.0
ADGM,yahoo,no_pattern,1.0018999576568604,,,,0,260,no VCP pattern,0.0
ADI,yahoo,vcp,304.6400146484375,308.5199890136719,4.36|2.29|1.75,False,3,260,volume not contracting,0.0
ADIL,yahoo,no_pattern,0.23019999265670776,,,,0,260,no VCP pattern,-3.0
ADM,yahoo,vcp,67.8949966430664,67.69999694824219,4.38|4.61|3.69,False,1,260,drops not shrinking; volume not contracting,0.0
ADMA,yahoo,no_pattern,16.709999084472656,,,,0,260,no VCP pattern,0.0
ADNT,yahoo,no_pattern,21.68000030517578,,,,0,260,no VCP pattern,0.0
ADP,yahoo,vcp,255.77000427246094,260.44000244140625,2.59|3.36|2.05,False,1,260,drops not shrinking; volume not contracting,0.0
ADPT,yahoo,vcp,19.084999084472656,18.260000228881836,27.91|-1.08|4.05,True,2,260,drops not shrinking,0.0
ADSE,yahoo,no_pattern,12.289999961853027,,,,0,260,no VCP pattern,0.0
ADSEW,yahoo,no_pattern,0.8600000143051147,,,,0,1,no VCP pattern,0.0
ADSK,yahoo,no_pattern,266.9150085449219,,,,0,260,no VCP pattern,0.0
ADT,yahoo,vcp,8.024999618530273,8.279999732971191,1.6|1.33|3.62,False,1,260,drops not shrinking; volume not contracting,0.0
ADTN,yahoo,vcp,9.6899995803833,9.899999618530273,3.88|1.92|4.16,False,1,260,drops not shrinking; volume not contracting,0.0
ADTX,yahoo,no_pattern,0.9265999794006348,,,,0,260,no VCP pattern,0.0
ADUR,yahoo,vcp,13.609999656677246,13.369999885559082,11.71|24.82|2.02,False,1,260,drops not shrinking; volume not contracting,1.0
ADUS,yahoo,vcp,108.37000274658203,110.37000274658203,8.13|7.43|4.68,False,3,260,volume not contracting,0.0
ADV,yahoo,vcp,0.9350000023841858,0.9150000214576721,13.06|6.56|13.55,False,1,260,drops not shrinking; volume not contracting,1.0
ADVB,yahoo,vcp,0.3009999990463257,0.3400000035762787,13.78|22.13|17.55,True,1,225,drops not shrinking; price not near pivot,0.0
ADX,yahoo,vcp,23.28499984741211,23.08277702331543,3.87|0.56|2.63,False,1,260,drops not shrinking; volume not contracting,0.0
ADXN,yahoo,no_pattern,7.949999809265137,,,,0,260,no VCP pattern,0.0
AEAQ,yahoo,no_pattern,9.920000076293945,,,,0,2,no VCP pattern,0.0
AEAQU,yahoo,no_pattern,10.050000190734863,,,,0,35,no VCP pattern,0.0
AEAQW,yahoo,no_pattern,0.2498999983072281,,,,0,1,no VCP pattern,0.0
AEBI,yahoo,no_pattern,13.725000381469727,,,,0,144,no VCP pattern,0.0
AEC,yahoo,vcp,8.1899995803833,5.260000228881836,4.55|36.42|4.75,False,1,260,drops not shrinking; volume not contracting,0.0
AEE,yahoo,vcp,103.80500030517578,104.12999725341797,2.58|7.9|1.77,False,1,260,drops not shrinking; volume not contracting,0.0
AEF,yahoo,vcp,8.007800102233887,6.883744716644287,-1.35|5.81|4.67,False,1,260,drops not shrinking; volume not contracting,0.0
AEFC,yahoo,vcp,20.200000762939453,19.829999923706055,0.86|1.3|-0.86,False,1,260,drops not shrinking; volume not contracting,0.0
AEG,yahoo,vcp,7.761300086975098,7.78000020980835,9.08|1.05|3.98,False,1,260,drops not shrinking; volume not contracting,0.0
AEHL,yahoo,no_pattern,1.0200999975204468,,,,0,260,no VCP pattern,0.0
AEHR,yahoo,vcp,26.31999969482422,30.90999984741211,6.39|18.77|11.33,True,1,260,drops not shrinking; price not near pivot,-1.0
AEI,yahoo,no_pattern,3.055000066757202,,,,0,260,no VCP pattern,0.0
AEIS,yahoo,vcp,265.5950012207031,275.57000732421875,8.75|3.9|8.15,False,1,260,drops not shrinking; volume not contracting,0.0
AEM,yahoo,vcp,211.77499389648438,183.2100067138672,5.7|2.27|7.47,False,1,260,drops not shrinking; volume not contracting,0.0
AEMD,yahoo,no_pattern,2.950000047683716,,,,0,260,no VCP pattern,-1.0
AENT,yahoo,no_pattern,7.364999771118164,,,,0,260,no VCP pattern,0.0
AENTW,yahoo,no_pattern,0.6899999976158142,,,,0,1,no VCP pattern,0.0
AEO,yahoo,vcp,23.43000030517578,28.063018798828125,7.28|5.32|2.12,True,3,260,price not near pivot,0.0
AEON,yahoo,no_pattern,1.1548000574111938,,,,0,260,no VCP pattern,0.0
AEP,yahoo,vcp,118.9800033569336,119.95999908447266,7.79|1.11|1.97,False,1,260,drops not shrinking; volume not contracting,0.0
AER,yahoo,no_pattern,144.32000732421875,,,,0,260,no VCP pattern,-1.0
AERO,yahoo,no_pattern,21.010000228881836,,,,0,55,no VCP pattern,0.0
AERT,yahoo,vcp,0.5299999713897705,0.6010000109672546,10.02|12.54|5.47,True,1,260,drops not shrinking; price not near pivot,-1.0
AERTW,yahoo,no_pattern,0.03229999914765358,,,,0,1,no VCP pattern,0.0
AES,yahoo,no_pattern,14.774999618530273,,,,0,260,no VCP pattern,-1.0
AESI,yahoo,no_pattern,11.640000343322754,,,,0,260,no VCP pattern,-2.0
AEVA,yahoo,vcp,14.086999893188477,20.690000534057617,46.91|18.89|13.73,True,3,260,price not near pivot,0.0
AEVAW,yahoo,no_pattern,0.11999999731779099,,,,0,1,no VCP pattern,0.0
AEXA,yahoo,no_pattern,11.760000228881836,,,,0,84,no VCP pattern,0.0
AEYE,yahoo,no_pattern,9.305000305175781,,,,0,260,no VCP pattern,0.0
AFB,yahoo,vcp,10.869999885559082,10.899999618530273,1.2|1.02|0.37,False,3,260,volume not contracting,2.0
AFBI,yahoo,vcp,20.375,20.469999313354492,9.02|2.69|1.56,False,3,260,volume not contracting,0.0
AFCG,yahoo,no_pattern,2.5,,,,0,260,no VCP pattern,0.0
AFG,yahoo,no_pattern,128.33999633789062,,,,0,260,no VCP pattern,-1.0
AFGB,yahoo,vcp,22.100000381469727,21.889999389648438,0.5|1.15|0.51,False,1,260,drops not shrinking; volume not contracting,0.0
AFGC,yahoo,vcp,19.27400016784668,19.280000686645508,0.71|1.01|0.57,False,1,260,drops not shrinking; volume not contracting,0.0
AFGD,yahoo,vcp,21.31999969482422,21.360000610351562,0.86|1.37|-0.43,True,2,260,drops not shrinking,0.0
AFGE,yahoo,vcp,17.530000686645508,17.43000030517578,0.99|0.35|0.46,False,1,260,drops not shrinking; volume not contracting,0.0
AFJK,yahoo,no_pattern,52.13999938964844,,,,0,260,no VCP pattern,0.0
AFJKR,yahoo,no_pattern,0.3736000061035156,,,,0,1,no VCP pattern,0.0
AFJKU,yahoo,vcp,63.029998779296875,64.33000183105469,1.88|1.52|1.03,True,4,259,,0.0
AFL,yahoo,vcp,108.72000122070312,110.18000030517578,1.91|1.43|3.77,False,1,260,drops not shrinking; volume not contracting,0.0
AFRI,yahoo,no_pattern,10.0,,,,0,260,no VCP pattern,0.0
AFRIW,yahoo,no_pattern,0.8399999737739563,,,,0,1,no VCP pattern,0.0
AFRM,yahoo,no_pattern,68.51000213623047,,,,0,260,no VCP pattern,0.0
AFYA,yahoo,vcp,14.699999809265137,15.180000305175781,3.84|4.58|10.01,False,1,260,drops not shrinking; volume not contracting,0.0
AG,yahoo,vcp,25.719999313354492,16.809999465942383,12.33|9.68|4.46,False,3,259,volume not contracting,0.0
AGAE,yahoo,no_pattern,0.32679998874664307,,,,0,260,no VCP pattern,0.0
AGCC,yahoo,no_pattern,10.079999923706055,,,,0,66,no VCP pattern,0.0
AGCO,yahoo,vcp,114.06999969482422,114.5999984741211,6.17|4.43|2.96,False,3,260,volume not contracting,0.0
AGD,yahoo,vcp,12.40999984741211,12.155058860778809,3.19|5.88|-2.17,False,1,260,drops not shrinking; volume not contracting,0.0
AGEN,yahoo,no_pattern,3.061199903488159,,,,0,260,no VCP pattern,0.0
AGH,yahoo,no_pattern,3.4000000953674316,,,,0,240,no VCP pattern,0.0
AGI,yahoo,vcp,41.91999816894531,42.9900016784668,3.01|5.79|9.51,False,1,260,drops not shrinking; volume not contracting,0.0
AGIG,yahoo,no_pattern,2.9827001094818115,,,,0,260,no VCP pattern,-1.0
AGIO,yahoo,vcp,29.309999465942383,29.170000076293945,7.6|12.64|8.54,False,1,260,drops not shrinking; volume not contracting,1.0
AGL,yahoo,vcp,0.8490999937057495,0.9919999837875366,8.04|6.53|8.67,True,1,260,drops not shrinking; price not near pivot,-1.0
AGM,yahoo,vcp,171.55999755859375,175.8699951171875,1.21|3.52|6.27,False,1,260,drops not shrinking; volume not contracting,0.0
AGMH,yahoo,no_pattern,1.7753000259399414,,,,0,260,no VCP pattern,0.0
AGNC,yahoo,vcp,11.983499526977539,11.930000305175781,0.29|3.01|0.37,True,2,260,drops not shrinking,0.0
AGNCL,yahoo,no_pattern,25.040000915527344,,,,0,259,no VCP pattern,0.0
AGNCM,yahoo,vcp,24.899999618530273,24.847000122070312,0.24|0.28|0.11,False,1,260,drops not shrinking; volume not contracting,0.0
AGNCN,yahoo,vcp,25.495800018310547,25.549999237060547,0.28|-0.51|0.12,False,1,260,drops not shrinking; volume not contracting,0.0
AGNCO,yahoo,vcp,25.3799991607666,24.821014404296875,0.0|0.48|0.39,False,1,260,drops not shrinking; volume not contracting,0.0
AGNCP,yahoo,vcp,25.049999237060547,24.52557373046875,0.4|0.16|0.16,False,3,260,volume not contracting,3.0
AGNCZ,yahoo,no_pattern,25.8799991607666,,,,0,100,no VCP pattern,0.0
AGO,yahoo,no_pattern,83.25,,,,0,260,no VCP pattern,0.0
AGPU,yahoo,no_pattern,4.888800144195557,,,,0,260,no VCP pattern,0.0
AGRO,yahoo,no_pattern,9.169899940490723,,,,0,260,no VCP pattern,-4.0
AGRZ,yahoo,no_pattern,0.4117000102996826,,,,0,81,no VCP pattern,0.0
AGX,yahoo,no_pattern,357.1199951171875,,,,0,260,no VCP pattern,-1.0
AGYS,yahoo,no_pattern,90.5,,,,0,260,no VCP pattern,0.0
AHCO,yahoo,vcp,10.0600004196167,10.619999885559082,14.71|5.27|4.87,False,2,260,volume not contracting; price not near pivot,-1.0
AHG,yahoo,no_pattern,1.409999966621399,,,,0,259,no VCP pattern,-1.0
AHH,yahoo,vcp,6.855000019073486,7.059999942779541,3.0|6.53|2.97,True,2,260,drops not shrinking,0.0
AHL,yahoo,vcp,37.29999923706055,37.31999969482422,0.08|0.19|0.16,False,1,181,drops not shrinking; volume not contracting,0.0
AHMA,yahoo,no_pattern,30.549999237060547,,,,0,67,no VCP pattern,0.0
AHR,yahoo,vcp,45.79999923706055,48.63999938964844,3.01|8.03|3.18,True,1,260,drops not shrinking; price not near pivot,-1.0
AHT,yahoo,vcp,4.019999980926514,4.800000190734863,23.85|3.11|12.75,True,1,260,drops not shrinking; price not near pivot,0.0
AI,yahoo,no_pattern,12.664999961853027,,,,0,260,no VCP pattern,0.0
AIFF,yahoo,no_pattern,0.9950000047683716,,,,0,260,no VCP pattern,0.0
AIFU,yahoo,no_pattern,2.123199939727783,,,,0,260,no VCP pattern,0.0
AIG,yahoo,no_pattern,73.45500183105469,,,,0,260,no VCP pattern,0.0
AIHS,yahoo,no_pattern,1.159999966621399,,,,0,260,no VCP pattern,0.0
