symbol,price_source,status,last_close,daily_high,daily_low,daily_volume,daily_turnover,pivot_high,contractions_pct,volume_trend_ok,score,bars,note,score_delta
A,yahoo,no_pattern,110.23999786376953,113.73999786376953,109.9000015258789,1269900.0,139993773.28720093,,,,0,260,no VCP pattern,0.0
AA,yahoo,vcp,58.40999984741211,59.2599983215332,57.40999984741211,3327700.0,194370956.49223328,66.5999984741211,8.99|8.09|15.8,True,1,260,drops not shrinking; price not near pivot,1.0
AACB,yahoo,no_pattern,10.34000015258789,10.34000015258789,10.34000015258789,2000.0,20680.00030517578,,,,0,245,no VCP pattern,0.0
AACBR,yahoo,no_pattern,0.3018999993801117,0.3018999993801117,0.3018999993801117,4.0,1.2075999975204468,,,,0,1,no VCP pattern,0.0
AACG,yahoo,fetch_error,,,,,,,,,0,0,no data,-2.0
AACI,yahoo,no_pattern,10.289999961853027,10.300000190734863,10.289999961853027,363200.0,3737327.9861450195,,,,0,43,no VCP pattern,0.0
AACIU,yahoo,no_pattern,9.960000038146973,9.989999771118164,9.960000038146973,7400.0,73704.0002822876,,,,0,28,no VCP pattern,0.0
AACIW,yahoo,no_pattern,0.6499000191688538,0.6499000191688538,0.6499000191688538,0.0,0.0,,,,0,16,no VCP pattern,0.0
AACOU,yahoo,no_pattern,9.970000267028809,9.970000267028809,9.970000267028809,800.0,7976.000213623047,,,,0,27,no VCP pattern,0.0
AAL,yahoo,vcp,10.300000190734863,10.619999885559082,10.199999809265137,47519200.0,489447769.0635681,10.8100004196167,15.16|26.11|3.96,False,1,260,drops not shrinking; volume not contracting,1.0
AAME,yahoo,no_pattern,2.390000104904175,2.5399999618530273,2.380000114440918,8100.0,19359.000849723816,,,,0,260,no VCP pattern,0.0
AAMI,yahoo,no_pattern,52.220001220703125,54.619998931884766,52.209999084472656,172800.0,9023616.2109375,,,,0,260,no VCP pattern,-1.0
AAOI,yahoo,vcp,98.20999908447266,101.5,94.18000030517578,7575100.0,743950564.0647888,102.51000213623047,15.7|10.41|15.78,False,1,260,drops not shrinking; volume not contracting,1.0
AAON,yahoo,no_pattern,81.4800033569336,83.44000244140625,80.93000030517578,548900.0,44724373.84262085,,,,0,260,no VCP pattern,-1.0
AAP,yahoo,vcp,51.56999969482422,52.36000061035156,51.2599983215332,1379900.0,71161442.57888794,53.33000183105469,15.41|5.52|11.79,False,1,260,drops not shrinking; volume not contracting,-2.0
AAPG,yahoo,no_pattern,23.040000915527344,23.139999389648438,22.889999389648438,3800.0,87552.0034790039,,,,0,260,no VCP pattern,0.0
AAPL,yahoo,vcp,248.8000030517578,255.49000549316406,248.07000732421875,47842500.0,11903214146.003723,260.8299865722656,7.95|6.12|4.92,True,4,260,,4.0
